E,E_idx,weight,dos
4.6716572216697856e-11,1,9,8.403665547773726e11
5.881267991551825e-11,2,4,2.9667861421228326e11
7.404077728136246e-11,3,4,2.3566019990768454e11
9.321181602849955e-11,4,4,1.871915505874455e11
1.1734672387776086e-10,5,8,2.9738306786685333e11
1.4773077268050642e-10,6,5,1.4763735458473065e11
1.8598202383147688e-10,7,10,2.3454503849330414e11
2.3413749593835497e-10,8,8,1.49044597111777e11
2.9476164349064903e-10,9,6,8.879274878924367e10
3.710829234125905e-10,10,15,1.7632646850519138e11
4.671657221669786e-10,11,11,1.0271146780612332e11
5.881267991551825e-10,12,9,6.675268819776374e10
7.404077728136246e-10,13,11,6.480655497461329e10
9.321181602849955e-10,14,14,6.551704270560591e10
1.1734672387776084e-9,15,14,5.204203687669934e10
1.4773077268050639e-9,16,14,4.1338459283724594e10
1.8598202383147685e-9,17,17,3.98726565438617e10
2.3413749593835498e-9,18,22,4.098726420573868e10
2.9476164349064903e-9,19,14,2.0718308050823517e10
3.710829234125905e-9,20,21,2.4685705590726803e10
4.671657221669785e-9,21,8,7.469924931354431e9
5.881267991551832e-9,22,22,1.6317323781675394e10
7.4040777281362446e-9,23,14,8.248106996769113e9
9.321181602849946e-9,24,14,6.551704270560539e9
1.1734672387776084e-8,25,21,7.806305531504905e9
1.477307726805064e-8,26,26,7.6771424384059925e9
1.8598202383147708e-8,27,15,3.5181755773995247e9
2.3413749593835493e-8,28,19,3.5398091814047704e9
2.9476164349064873e-8,29,12,1.7758549757848585e9
3.710829234125905e-8,30,20,2.3510195800692196e9
4.671657221669785e-8,31,18,1.6807331095547454e9
5.881267991551831e-8,32,22,1.6317323781675413e9
7.404077728136243e-8,33,18,1.0604708995846e9
9.321181602849946e-8,34,27,1.263542966465246e9
1.1734672387776085e-7,35,25,9.293220870839176e8
1.4773077268050638e-7,36,31,9.153515984253298e8
1.859820238314771e-7,37,31,7.270896193292354e8
2.3413749593835493e-7,38,30,5.589172391691742e8
2.947616434906487e-7,39,29,4.291649524813409e8
3.7108292341259046e-7,40,27,3.1738764330934477e8
4.671657221669785e-7,41,37,3.45484028075142e8
5.88126799155183e-7,42,33,2.4475985672513118e8
7.404077728136244e-7,43,33,1.944196649238433e8
9.321181602849947e-7,44,42,1.96551128116816e8
1.1734672387776087e-6,45,45,1.6727797567510518e8
1.4773077268050638e-6,46,33,9.744065402592221e7
1.8598202383147709e-6,47,41,9.61634657822537e7
2.3413749593835493e-6,48,57,1.0619427544214308e8
2.9476164349064875e-6,49,51,7.54738364708565e7
3.710829234125905e-6,50,50,5.8775489501730464e7
4.671657221669785e-6,51,53,4.948825267022309e7
5.8812679915518305e-6,52,59,4.376009559631134e7
7.404077728136243e-6,53,61,3.593818048592255e7
9.321181602849947e-6,54,75,3.509841573514573e7
1.1734672387776086e-5,55,68,2.527756076868253e7
1.477307726805064e-5,56,79,2.332670202438745e7
1.859820238314771e-5,57,70,1.6418152694531118e7
2.341374959383549e-5,58,90,1.6767517175075233e7
2.9476164349064872e-5,59,108,1.5982694782063723e7
3.7108292341259054e-5,60,121,1.4223668459418776e7
4.671657221669788e-5,61,129,1.2045253951808952e7
5.881267991551834e-5,62,119,8.826188772815365e6
7.404077728136245e-5,63,153,9.014002646469103e6
9.321181602849941e-5,64,179,8.376821888788157e6
0.0001173467238777608,65,204,7.583268230604733e6
0.0001477307726805065,66,180,5.314944765050276e6
0.00018598202383147717,67,186,4.362537715975429e6
0.00023413749593835493,68,251,4.67627423438209e6
0.0002947616434906485,69,276,4.084466444305199e6
0.0003710829234125903,70,298,3.5030191743031214e6
0.0004671657221669788,71,326,3.043994409526911e6
0.0005881267991551834,72,369,2.7368602161082975e6
0.0007404077728136245,73,447,2.633502733968421e6
0.000932118160284994,74,517,2.419450791342727e6
0.001173467238777608,75,527,1.9590109595728882e6
0.0014773077268050649,76,685,2.0226317578108003e6
0.0018598202383147719,77,690,1.6183607656037882e6
0.0023413749593835494,78,858,1.5985033040238372e6
0.002947616434906486,79,954,1.4118047057489704e6
0.0037108292341259033,80,1181,1.3882770620308688e6
0.004671657221669788,81,1258,1.1746456954554776e6
0.005881267991551833,82,1500,1.1125448032960575e6
0.007404077728136245,83,1757,1.0351374280945186e6
0.009321181602849943,84,2102,983691.5983370251
0.01173467238777608,85,2524,938243.5791199193
0.014773077268050647,86,2922,862792.7001931614
0.01859820238314771,87,3403,798156.7659927112
0.023413749593835492,88,4219,786023.9440182444
0.029476164349064863,89,4854,718333.3377049807
0.037108292341259036,90,6010,706481.3838107975
0.04671657221669787,91,7121,664916.6929521831
0.05881267991551832,92,8651,641641.6728876126
0.07404077728136245,93,10424,614130.4809594342
0.09321181602849944,94,12693,594005.5879016103
0.11734672387776082,95,15632,581086.5146118295
0.14773077268050644,96,19203,567016.0240181151
0.18598202383147708,97,24196,567505.1751383957
0.23413749593835492,98,29120,542522.333486876
0.29476164349064865,99,25737,380876.49593145977
0.37108292341259036,100,6140,72176.30110812481
