E,r,l1_q2.0,l1_q3.0,l5_q2.0,l5_q3.0,l10_q2.0,l10_q3.0
0.2729559844,1,0.1335246013,0.02473009468,0.4572982492,0.2720423076,0.681092037,0.5350858908
0.2734368064,1,0.2014779167,0.05028711768,0.4993917521,0.2555122374,0.5063231699,0.2601947923
0.2770023413,1,0.2006994516,0.0525286072,0.6350989956,0.4946708388,0.6931567175,0.5583256423
0.2785252373,1,0.2167129648,0.05489288651,0.5046640102,0.2692333749,0.9659361845,0.9490195265
0.2721873183,2,0.09641927958,0.01221625531,0.2700459486,0.07966676631,0.4755939286,0.2368239419
0.2745804615,2,0.1323129214,0.0267270522,0.3727599511,0.1910086112,0.5662650202,0.3986781891
0.2772737626,2,0.2794301813,0.08833638204,0.6918024916,0.53792821,0.6923208909,0.5384826359
0.2785986942,2,0.2601070239,0.07733322087,0.93261896,0.899324973,0.9413239338,0.9119868042
0.2714570053,3,0.1594370218,0.03424487454,0.4201408333,0.191241401,0.5179842826,0.2789419428
0.2751372867,3,0.2253736256,0.06691673329,0.5108904885,0.2896675373,0.9298123913,0.8947805113
0.2773824745,3,0.2415069707,0.07677077678,0.5399946302,0.3357627452,0.5652629972,0.348033593
0.2775476449,3,0.2523036862,0.08041796491,0.4963103996,0.2614844724,0.9520277523,0.9282591791
0.278627934,3,0.3072444158,0.1111753673,0.9365946761,0.905380766,0.9416683434,0.9125515811
0.2750405395,4,0.14239719,0.02860023882,0.397233813,0.2042689892,0.6388124531,0.4610395253
0.2752043608,4,0.1740378467,0.03730065447,0.4895065219,0.2519634659,0.9505838579,0.9260570322
0.2764913946,4,0.05892138703,0.005017980906,0.1968118271,0.04737446197,0.3522338709,0.1537674871
0.2769384892,4,0.1025348134,0.01323367804,0.2990816913,0.1037743893,0.3782465911,0.1568047209
0.273752428,5,0.2488313374,0.07753618327,0.6459192387,0.4799992979,0.6785083462,0.5183956441
0.2756353595,5,0.1533989876,0.02936899915,0.4672876713,0.2382930491,0.4984926693,0.2637556572
0.2735915233,6,0.2037403795,0.05514685226,0.488270598,0.2756627765,0.5478408974,0.3355775018
0.2744200086,6,0.1900540902,0.04738084394,0.5664366999,0.3811241115,0.6529151127,0.4820281169
0.2756245783,6,0.1717254303,0.03920267891,0.6171615352,0.4306041728,0.6269597623,0.4408844007
0.2730700325,7,0.1276355794,0.02211349722,0.5187770842,0.34059428,0.7260494837,0.6024558401
0.2742605473,7,0.1230352349,0.01950056307,0.3517824893,0.138074313,0.4897574636,0.2567555175
0.2753017605,7,0.180061975,0.04040630344,0.6694442132,0.5096755274,0.976512558,0.9648088625
0.2770967824,7,0.1609101891,0.03282395541,0.4856246621,0.2404286907,0.5010350482,0.2516807638
0.2773063588,7,0.1787502295,0.04558463531,0.4979132218,0.3066004983,0.780947376,0.6793634095
0.2716457403,8,0.3883837221,0.1694278553,0.9036367254,0.8561258762,0.912702293,0.8690873986
0.2746740292,8,0.09008799292,0.01009014058,0.3188579104,0.1271626864,0.5399943041,0.3202486606
0.2774304634,8,0.2414019057,0.07504147378,0.7276025672,0.6096423588,0.8558020561,0.7846517567
0.2717409641,9,0.2834490458,0.09409502321,0.899790366,0.8519633117,0.952416336,0.9289156552
0.2720293401,9,0.1395930353,0.02465398148,0.5387486392,0.3556122621,0.8267219316,0.7448152956
0.2721556423,9,0.1690445976,0.03714927793,0.5964032688,0.4347138133,0.8092207128,0.7208791558
0.2733135852,9,0.3177071423,0.1236958873,0.8598285136,0.7914557596,0.9820245983,0.9730862438
0.2738658789,9,0.1866701254,0.04765760354,0.6024725935,0.426461218,0.9059219616,0.859158011
0.2744601366,9,0.1857062048,0.04143394528,0.7065634041,0.5648509892,0.9759582253,0.9640084696
0.2750597608,9,0.1175873351,0.01762290555,0.3378360196,0.1239821101,0.6314085241,0.4570070219
0.27863876,9,0.1779901692,0.04656084756,0.6244107466,0.4794842748,0.7036483513,0.5715944402
0.2757370955,10,0.1727932599,0.04079205556,0.6098829033,0.4490241789,0.844140585,0.7694091561
0.2759367577,10,0.2393161904,0.06867537238,0.8417629101,0.7636770888,0.9908308756,0.9862487858
0.2768595114,10,0.1981087489,0.04297158594,0.7978169896,0.6973793616,0.7994734344,0.6992174206
0.2770641051,10,0.307486121,0.111209644,0.887422901,0.8321037374,0.8991243654,0.8486911228
