 41.152809 seconds (26.25 M allocations: 14.407 GiB, 1.35% gc time, 3.98% compilation time)
 39.913177 seconds (23.81 M allocations: 14.459 GiB, 0.70% gc time)
 41.536367 seconds (23.81 M allocations: 14.472 GiB, 0.60% gc time)
 42.457776 seconds (23.81 M allocations: 14.483 GiB, 0.57% gc time)
 41.715509 seconds (24.18 M allocations: 14.683 GiB, 0.63% gc time)
 42.618175 seconds (24.18 M allocations: 14.711 GiB, 0.59% gc time)
 42.035643 seconds (24.91 M allocations: 15.125 GiB, 0.61% gc time)
 43.681102 seconds (24.91 M allocations: 15.154 GiB, 0.64% gc time)
 43.315986 seconds (25.28 M allocations: 15.378 GiB, 0.57% gc time)
 45.314888 seconds (26.38 M allocations: 16.050 GiB, 0.59% gc time)
 45.832873 seconds (26.38 M allocations: 16.048 GiB, 0.55% gc time)
 45.388163 seconds (26.75 M allocations: 16.238 GiB, 0.57% gc time)
 48.036228 seconds (27.85 M allocations: 16.936 GiB, 0.57% gc time)
 47.054519 seconds (27.48 M allocations: 16.691 GiB, 0.53% gc time)
 50.965894 seconds (29.31 M allocations: 17.819 GiB, 0.55% gc time)
 54.776680 seconds (31.51 M allocations: 19.186 GiB, 0.53% gc time)
 55.372683 seconds (31.88 M allocations: 19.410 GiB, 0.57% gc time)
 60.287667 seconds (34.44 M allocations: 20.974 GiB, 0.56% gc time)
 70.357434 seconds (39.21 M allocations: 23.919 GiB, 0.59% gc time)
 77.848212 seconds (44.34 M allocations: 27.052 GiB, 0.58% gc time)
 74.400712 seconds (26.25 M allocations: 15.077 GiB, 0.79% gc time, 2.24% compilation time)
 75.159593 seconds (24.02 M allocations: 15.279 GiB, 0.56% gc time)
 75.127189 seconds (24.02 M allocations: 15.274 GiB, 0.42% gc time)
 74.366246 seconds (24.02 M allocations: 15.259 GiB, 0.60% gc time)
 78.519542 seconds (24.59 M allocations: 15.689 GiB, 0.48% gc time)
 76.171061 seconds (24.59 M allocations: 15.647 GiB, 0.36% gc time)
 77.052287 seconds (24.59 M allocations: 15.648 GiB, 0.63% gc time)
 79.941272 seconds (25.16 M allocations: 16.032 GiB, 0.45% gc time)
 81.088150 seconds (25.74 M allocations: 16.399 GiB, 0.53% gc time)
 83.085019 seconds (25.74 M allocations: 16.370 GiB, 0.50% gc time)
 86.502036 seconds (26.31 M allocations: 16.759 GiB, 0.45% gc time)
 84.887202 seconds (26.88 M allocations: 17.100 GiB, 0.64% gc time)
 84.612401 seconds (27.45 M allocations: 17.495 GiB, 0.54% gc time)
 85.345341 seconds (28.02 M allocations: 17.849 GiB, 0.63% gc time)
 87.268828 seconds (29.74 M allocations: 18.965 GiB, 0.44% gc time)
 92.276778 seconds (30.89 M allocations: 19.702 GiB, 0.47% gc time)
102.065201 seconds (33.75 M allocations: 21.558 GiB, 0.51% gc time)
105.798287 seconds (35.46 M allocations: 22.631 GiB, 0.44% gc time)
119.454725 seconds (40.04 M allocations: 25.569 GiB, 0.50% gc time)
140.712561 seconds (46.33 M allocations: 29.609 GiB, 0.45% gc time)
104.191725 seconds (25.85 M allocations: 15.373 GiB, 0.70% gc time, 1.62% compilation time)
100.878903 seconds (23.04 M allocations: 15.171 GiB, 0.55% gc time)
106.264506 seconds (23.87 M allocations: 15.705 GiB, 0.58% gc time)
103.309396 seconds (23.87 M allocations: 15.710 GiB, 0.52% gc time)
102.634712 seconds (23.87 M allocations: 15.707 GiB, 0.38% gc time)
109.525617 seconds (24.69 M allocations: 16.287 GiB, 0.45% gc time)
108.594636 seconds (24.69 M allocations: 16.297 GiB, 0.42% gc time)
104.345427 seconds (24.69 M allocations: 16.239 GiB, 0.42% gc time)
111.689965 seconds (25.51 M allocations: 16.826 GiB, 0.33% gc time)
113.674899 seconds (26.34 M allocations: 17.411 GiB, 0.42% gc time)
110.288751 seconds (26.34 M allocations: 17.403 GiB, 0.35% gc time)
108.325996 seconds (26.34 M allocations: 17.370 GiB, 0.36% gc time)
111.364341 seconds (27.16 M allocations: 17.898 GiB, 0.32% gc time)
124.686105 seconds (29.63 M allocations: 19.606 GiB, 0.33% gc time)
120.657509 seconds (28.81 M allocations: 19.019 GiB, 0.36% gc time)
128.017689 seconds (30.45 M allocations: 20.127 GiB, 0.33% gc time)
130.871114 seconds (32.10 M allocations: 21.237 GiB, 0.53% gc time)
143.866428 seconds (36.22 M allocations: 24.027 GiB, 0.32% gc time)
161.039643 seconds (41.16 M allocations: 27.308 GiB, 0.30% gc time)
167.621432 seconds (42.80 M allocations: 28.372 GiB, 0.30% gc time)
